symbol,companyName,marketCap,sector,industry,beta,price,lastAnnualDividend,volume,exchange,exchangeShortName,country,isEtf,isActivelyTrading
NWFFX,American Funds New World Fund Cl F-1Shs,51305279468,,,0.96,74.51,0.0,0,NASDAQ,NASDAQ,,False,True
NEWFX,American Funds New World Fund Class A,51305279456,,,0.96,75.03,0.0,0,NASDAQ,NASDAQ,,False,True
AEB,Aegon N.V. PERP CAP FLTG RT,51125440499,Financial Services,Insurance,0.0,25.01,0.0,2772,New York Stock Exchange,NYSE,SE,True,False
PCAR,PACCAR Inc,51078371400,Industrials,Farm & Heavy Construction Machinery,0.924,97.65,1.08,1174926,NASDAQ Global Select,NASDAQ,US,False,True
WCN.TO,"Waste Connections, Inc.",50977243782,Industrials,Waste Management,0.664,197.86,1.55,82340,Toronto Stock Exchange,TSX,CA,False,True
FDGRX,Fidelity Growth Company Fund Retail Class,50709294540,,,1.16,31.92,0.0,0,NASDAQ,NASDAQ,US,False,True
DHI,"D.R. Horton, Inc.",50640636160,Consumer Cyclical,Residential Construction,1.575,151.99,1.2,914934,New York Stock Exchange,NYSE,US,False,True
NGG,National Grid plc,50152007620,Utilities,Utilities—Regulated Electric,0.329,67.99,3.54,187678,New York Stock Exchange,NYSE,GB,False,True
VBINX,Vanguard Balanced Index Fund,50109116415,,,1.01,44.59,0.41500000000000004,0,NASDAQ,NASDAQ,US,False,True
HMC,"Honda Motor Co., Ltd.",50037725211,Consumer Cyclical,Auto Manufacturers,0.669,30.91,0.87,726903,New York Stock Exchange,NYSE,JP,False,True
EDF.PA,Electricité de France S.A.,50023560192,Utilities,Utilities—Diversified,0.855705,12.0,0.57,239213,Paris,EURONEXT,FR,False,False
VBAIX,Vanguard Balanced Index Fund Institutional Shares,49974625350,,,1.01,44.59,0.44,0,NASDAQ,NASDAQ,US,False,True
VBIAX,Vanguard Balanced Index Fund Admiral Shares,49974595263,,,1.01,44.58,0.438,0,NASDAQ,NASDAQ,US,False,True
CCI,Crown Castle Inc.,49956635910,Real Estate,REIT—Specialty,0.763,115.19,6.26,1823478,New York Stock Exchange,NYSE,US,False,True
COF,Capital One Financial Corporation,49936658640,Financial Services,Credit Services,1.462,131.12,2.4,1384074,New York Stock Exchange,NYSE,US,False,True
WELL,Welltower Inc.,49906299730,Real Estate,REIT—Healthcare Facilities,1.055,90.17,2.44,1744835,New York Stock Exchange,NYSE,US,False,True
GLD,SPDR Gold Shares,49761550235,,,0.13,191.17,0.0,4595504,New York Stock Exchange Arca,AMEX,US,True,True
STLA.MI,Stellantis N.V.,49526153205,Consumer Cyclical,Auto Manufacturers,0.0,15.412,7.281677,11119452,Milan,EURONEXT,NL,False,False
STLA.PA,Stellantis N.V.,49485897723,Consumer Cyclical,Auto Manufacturers,0.0,15.4,2.2566770000000003,3298959,Paris,EURONEXT,NL,False,False
FBGRX,Fidelity Blue Chip Growth Fund,49318727589,,,1.22,173.27,0.0,0,NASDAQ,NASDAQ,US,False,True
TFC,Truist Financial Corporation,49239096400,Financial Services,Banks—Regional,1.113,36.92,2.08,5869697,New York Stock Exchange,NYSE,US,False,True
GM,General Motors Company,49191721600,Consumer Cyclical,Auto Manufacturers,1.489,35.92,0.36,14062536,New York Stock Exchange,NYSE,US,False,True
MET,"MetLife, Inc.",48948765758,Financial Services,Insurance—Life,1.043,66.13,2.08,1785671,New York Stock Exchange,NYSE,US,False,True
CRH,CRH plc,48931945987,Basic Materials,Building Materials,1.314,69.16,1.33,1534801,New York Stock Exchange,NYSE,IE,False,True
FEGRX,First Eagle Global Fund Class R6,48870379497,,,1.06,63.45,0.0,0,NASDAQ,NASDAQ,,False,True
FESGX,First Eagle Global Fund Class C,48870379471,,,1.06,60.34,0.0,0,NASDAQ,NASDAQ,US,False,True
BSBR,Banco Santander (Brasil) S.A.,48867911347,Financial Services,Banks—Regional,0.812,6.55,0.33,369919,New York Stock Exchange,NYSE,BR,False,True
SGENX,First Eagle Global Fund,48793040718,,,1.06,63.09,0.0,0,NASDAQ,NASDAQ,US,False,True
MCHP,Microchip Technology Incorporated,48791438100,Technology,Semiconductors,1.603,90.18,1.59,2487763,NASDAQ Global Select,NASDAQ,US,False,True
SCHD,Schwab U.S. Dividend Equity ETF,48771678442,,,0.78,76.13,2.6577,3854583,New York Stock Exchange Arca,AMEX,US,True,True
AJG,Arthur J. Gallagher & Co.,48551592000,Financial Services,Insurance Brokers,0.691,224.88,2.2,519227,New York Stock Exchange,NYSE,US,False,True
KER.PA,Kering SA,48536676993,Consumer Cyclical,Luxury Goods,1.123,399.0,14.0,90721,Paris,EURONEXT,FR,False,True
ISP.MI,Intesa Sanpaolo S.p.A.,48249611985,Financial Services,Banks—Regional,1.331,2.6435,0.23,30319218,Milan,EURONEXT,IT,False,True
AFL,Aflac Incorporated,48211350000,Financial Services,Insurance—Life,0.88,82.5,2.0,1377699,New York Stock Exchange,NYSE,US,False,True
CARR,Carrier Global Corporation,48203250150,Industrials,Building Products & Equipment,1.263,57.45,0.76,1413646,New York Stock Exchange,NYSE,US,False,True
DXCM,"DexCom, Inc.",47945149660,Healthcare,Medical Devices,1.215,124.09,0.0,1283737,NASDAQ Global Select,NASDAQ,US,False,True
F,Ford Motor Company,47932299000,Consumer Cyclical,Auto Manufacturers,1.65,12.19,0.6,38210042,New York Stock Exchange,NYSE,US,False,True
NEM,Newmont Corporation,47701561100,Basic Materials,Gold,0.44,41.39,1.6,6959145,New York Stock Exchange,NYSE,US,False,True
BCE.TO,BCE Inc.,47593334580,Communication Services,Telecom Services,0.512,52.17,3.87,1546068,Toronto Stock Exchange,TSX,CA,False,True
AIG,"American International Group, Inc.",47563210000,Financial Services,Insurance—Diversified,1.038,67.75,1.44,2140777,New York Stock Exchange,NYSE,US,False,True
SQ,"Block, Inc.",47456910515,Technology,Software—Infrastructure,2.515,77.35,0.0,8139673,New York Stock Exchange,NYSE,US,False,True
VIRSX,Vanguard Institutional Target Retirement 2040 Fund Institutional Shares,47412973550,,,1.32,30.89,0.0,0,NASDAQ,NASDAQ,US,False,False
INGA.AS,ING Groep N.V.,47376302860,Financial Services,Banks—Diversified,1.694,13.526,0.7,6646081,Amsterdam,EURONEXT,NL,False,True
CPRT,"Copart, Inc.",47051319000,Consumer Cyclical,Auto & Truck Dealerships,1.203,49.0,0.0,2592481,NASDAQ Global Select,NASDAQ,US,False,True
SREA,SEMPRA ENERGY,47029688326,Industrials,,0.0,24.98,1.43754,129945,New York Stock Exchange,NYSE,US,False,True
SRE,Sempra,47029681440,Utilities,Utilities—Diversified,0.735,74.73,2.38,1605745,New York Stock Exchange,NYSE,US,False,True
UMG.AS,Universal Music Group N.V.,46987718375,Communication Services,Entertainment,0.924,25.81,0.51,540314,Amsterdam,EURONEXT,NL,False,True
QSR.TO,Restaurant Brands International Inc.,46877076520,Consumer Cyclical,Restaurants,0.981,103.53,2.92,304003,Toronto Stock Exchange,TSX,CA,False,True
HLT,Hilton Worldwide Holdings Inc.,46695159600,Consumer Cyclical,Lodging,1.199,182.09,0.6,1725777,New York Stock Exchange,NYSE,US,False,True
KDP,Keurig Dr Pepper Inc.,46592688800,Consumer Defensive,Beverages—Non-Alcoholic,0.664,33.32,0.86,4988376,NASDAQ Global Select,NASDAQ,US,False,True
ROST,"Ross Stores, Inc.",46591207740,Consumer Cyclical,Apparel Retail,1.026,138.39,1.34,2011521,NASDAQ Global Select,NASDAQ,US,False,True
SPG,"Simon Property Group, Inc.",46534730960,Real Estate,REIT—Retail,1.609,142.64,7.6,1109215,New York Stock Exchange,NYSE,US,False,True
BBV.BR,"Banco Bilbao Vizcaya Argentaria, S.A.",46530667622,Financial Services,Banks—Diversified,1.570779,7.8,0.43,274,Brussels,EURONEXT,ES,False,False
ET,Energy Transfer LP,46404018000,Energy,Oil & Gas Midstream,1.621,13.8,1.25,9323184,New York Stock Exchange,NYSE,US,False,True
EW,Edwards Lifesciences Corporation,46245625000,Healthcare,Medical Devices,1.007,76.25,0.0,1844366,New York Stock Exchange,NYSE,US,False,True
IDXX,"IDEXX Laboratories, Inc.",46097846085,Healthcare,Diagnostics & Research,1.234,555.05,0.0,203224,NASDAQ Global Select,NASDAQ,US,False,True
ENI.BR,Eni S.p.A.,45805080565,Energy,Oil & Gas Integrated,1.164053,13.692,0.8999999999999999,29054,Brussels,EURONEXT,IT,False,False
KHC,The Kraft Heinz Company,45357449200,Consumer Defensive,Packaged Foods,0.724,36.98,1.6,5537163,NASDAQ Global Select,NASDAQ,US,False,True
STM,STMicroelectronics N.V.,45316738173,Technology,Semiconductors,1.422,50.13,0.24,1679366,New York Stock Exchange,NYSE,CH,False,True
OIEJX,JPMorgan Equity Income Fund Class R6,45051719659,,,0.77,22.98,0.13,0,NASDAQ,NASDAQ,US,False,True
HLIEX,JPMorgan Equity Income Fund I Class,44992982090,,,0.77,22.98,0.11599999999999999,0,NASDAQ,NASDAQ,US,False,True
FTNT,"Fortinet, Inc.",44945772300,Technology,Software—Infrastructure,1.055,58.53,0.0,2878950,NASDAQ Global Select,NASDAQ,US,False,True
VGHAX,Vanguard Health Care Fund Admiral Shares,44829118386,,,0.63,88.17,0.044,0,NASDAQ,NASDAQ,US,False,True
CM,Canadian Imperial Bank of Commerce,44827631020,Financial Services,Banks—Diversified,1.084,48.14,2.73,909224,New York Stock Exchange,NYSE,CA,False,True
VGHCX,Vanguard Health Care Fund,44799125209,,,0.63,209.11,0.078,0,NASDAQ,NASDAQ,US,False,True
TAK,Takeda Pharmaceutical Company Limited,44776120143,Healthcare,Drug Manufacturers—Specialty & Generic,0.643,14.27,0.66,1118280,New York Stock Exchange,NYSE,JP,False,True
MSCI,MSCI Inc.,44737937280,Financial Services,Financial Data & Stock Exchanges,1.102,565.65,5.52,251180,New York Stock Exchange,NYSE,US,False,True
AZO,"AutoZone, Inc.",44710109559,Consumer Cyclical,Specialty Retail,0.636,2585.61,0.0,116787,New York Stock Exchange,NYSE,US,False,True
STZ,"Constellation Brands, Inc.",44400530250,Consumer Defensive,Beverages—Wineries & Distilleries,1.021,241.75,3.56,664391,New York Stock Exchange,NYSE,US,False,True
OAKIX,Oakmark International Fund Investor Class,44363302072,,,1.3,26.84,0.0,0,NASDAQ,NASDAQ,,False,True
HES,Hess Corporation,44280041440,Energy,Oil & Gas E&P,1.464,144.16,1.75,2243144,New York Stock Exchange,NYSE,US,False,True
VLO,Valero Energy Corporation,44258890000,Energy,Oil & Gas Refining & Marketing,1.503,130.0,4.08,1887553,New York Stock Exchange,NYSE,US,False,True
ODFL,"Old Dominion Freight Line, Inc.",44227177620,Industrials,Trucking,1.04,405.33,1.6,367080,NASDAQ Global Select,NASDAQ,US,False,True
ABEV,Ambev S.A.,44080237211,Consumer Defensive,Beverages—Brewers,0.608,2.8,0.15,1995668,New York Stock Exchange,NYSE,BR,False,True
FSPSX,Fidelity Concord Street Trust - Fidelity International Index Fund,43846553566,,,1.05,47.35,0.0,0,NASDAQ,NASDAQ,US,False,True
TEL,TE Connectivity Ltd.,43664449500,Technology,Electronic Components,1.325,140.5,2.36,767658,New York Stock Exchange,NYSE,CH,False,True
MUV2.MI,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,43632811875,Financial Services,Insurance—Reinsurance,0.890909,312.5,11.6,20,Milan,EURONEXT,DE,False,False
MFG,"Mizuho Financial Group, Inc.",43615355800,Financial Services,Banks—Regional,0.523,3.44,0.12,579967,New York Stock Exchange,NYSE,JP,False,True
TRV,"The Travelers Companies, Inc.",43507725510,Financial Services,Insurance—Property & Casualty,0.603,190.49,4.0,901146,New York Stock Exchange,NYSE,US,False,True
LDLVX,Lord Abbett Short Duration Income Fund,43204322279,,,0.31,3.86,0.056999999999999995,0,NASDAQ,NASDAQ,US,False,True
SGEN,Seagen Inc.,43154776450,Healthcare,Biotechnology,0.321,228.74,0.0,19392808,NASDAQ Global Select,NASDAQ,US,False,False
VUSA.MI,Vanguard S&P 500 UCITS ETF,42894127075,,,,81.6,0.0,2125,Milan,EURONEXT,IT,True,True
PAYX,"Paychex, Inc.",42858398420,Industrials,Staffing & Employment Services,0.968,119.11,3.56,1156044,NASDAQ Global Select,NASDAQ,US,False,True
NUE,Nucor Corporation,42785819560,Basic Materials,Steel,1.653,174.04,2.16,874222,New York Stock Exchange,NYSE,US,False,True
UCG.MI,UniCredit S.p.A.,42749792169,Financial Services,Banks—Regional,1.603896,24.565,0.99,4870344,Milan,EURONEXT,IT,False,True
AEP,"American Electric Power Company, Inc.",42711648720,Utilities,Utilities—Regulated Electric,0.498,81.22,3.52,2476464,NASDAQ Global Select,NASDAQ,US,False,True
RFETX,American Funds 2030 Target Date Retirement Fund,42655584248,,,0.97,16.22,0.0,0,NASDAQ,NASDAQ,,False,True
FAETX,American Funds 2030 Target Date Retirement Fd Cl F-1,42575704871,,,0.97,15.99,0.0,0,NASDAQ,NASDAQ,,False,True
WMB,"The Williams Companies, Inc.",42370695000,Energy,Oil & Gas Midstream,1.155,34.83,1.79,3516346,New York Stock Exchange,NYSE,US,False,True
IQV,IQVIA Holdings Inc.,42226850000,Healthcare,Diagnostics & Research,1.445,231.38,0.0,495324,New York Stock Exchange,NYSE,US,False,True
VWILX,Vanguard World Fund - Vanguard International Growth Fund,42201833338,,,1.27,101.81,0.0,0,NASDAQ,NASDAQ,US,False,True
VWIGX,Vanguard International Growth Fund,42194719676,,,1.27,32.02,0.0,0,NASDAQ,NASDAQ,US,False,True
VXZB,iPath Series B S&P 500 VIX Mid-Term Futures ETN,42038902782,,,0.0,17.95,0.0,13065,BATS,ETF,US,True,False
ABX.TO,Barrick Gold Corporation,42038640000,Basic Materials,Gold,0.3,23.94,0.54,1478340,Toronto Stock Exchange,TSX,CA,False,True
CVE.TO,Cenovus Energy Inc.,41874499200,Energy,Oil & Gas Integrated,2.669,22.08,0.56,1889315,Toronto Stock Exchange,TSX,CA,False,True
LEN,Lennar Corporation,41867556100,Consumer Cyclical,Residential Construction,1.511,149.04,1.5,1436904,New York Stock Exchange,NYSE,US,False,True
BIDU,"Baidu, Inc.",41758002940,Communication Services,Internet Content & Information,0.758,119.09,0.0,2654652,NASDAQ Global Select,NASDAQ,CN,False,True
STM.PA,STMicroelectronics N.V.,41748402090,Technology,Semiconductors,1.394584,46.26,0.23,2233437,Paris,EURONEXT,CH,False,False
STM.MI,STMicroelectronics N.V.,41739377360,Technology,Semiconductors,1.394584,46.25,0.23,3509727,Milan,EURONEXT,CH,False,False
TD-PFJ.TO,The Toronto-Dominion Bank NCUM 5Y PFD SR18,41685336045,,,0.0,22.66,0.0,3200,Toronto Stock Exchange,TSX,,False,True
JCBZX,JPMorgan Core Bond Fund Class R2,41631821824,,,0.91,10.29,0.065,0,NASDAQ,NASDAQ,,False,True
WOBDX,JPMorgan Core Bond Fund,41591441777,,,0.92,10.3,0.081,0,NASDAQ,NASDAQ,US,False,True
COIN,"Coinbase Global, Inc.",41585544920,Technology,Software—Application,3.062,173.92,0.0,19623990,NASDAQ Global Select,NASDAQ,US,False,True
O,Realty Income Corporation,41567716080,Real Estate,REIT—Retail,0.902,57.42,3.08,6473957,New York Stock Exchange,NYSE,US,False,True
SU,Suncor Energy Inc.,41492440800,Energy,Oil & Gas Integrated,1.536,32.04,1.64,1666629,New York Stock Exchange,NYSE,CA,False,True
VCSH,Vanguard Short-Term Corporate Bond Index Fund,41368427037,,,0.48,77.37,2.3939,2615614,NASDAQ Global Market,NASDAQ,US,True,True
FBALX,Fidelity Balanced Fund,41333104638,,,1.1,26.93,0.32399999999999995,0,NASDAQ,NASDAQ,US,False,True
MFC-PC.TO,Manulife Financial Corporation,41302290416,Financial Services,Insurance—Life,1.108,18.24,1.13,4154,Toronto Stock Exchange,TSX,CA,False,True
KVUE,Kenvue Inc.,41228007240,Consumer Defensive,Household & Personal Products,,21.53,0.8,9146399,New York Stock Exchange,NYSE,US,False,True
COR,Cencora,41222230560,Healthcare,Medical Distribution,0.555,205.38,2.04,944900,New York Stock Exchange,NYSE,US,False,True
BAGSX,Baird Aggregate Bond Fd Investor Class,41193041920,,,1.01,10.25,0.067,0,NASDAQ,NASDAQ,,False,True
BAGIX,Baird Aggregate Bond Fund Institutional Class,41193041918,,,1.01,9.86,0.07200000000000001,0,NASDAQ,NASDAQ,,False,True
GWW,"W.W. Grainger, Inc.",41131282329,Industrials,Industrial Distribution,1.115,828.69,7.44,147823,New York Stock Exchange,NYSE,US,False,True
TWTR,"Twitter, Inc. (delisted)",41093709770,Communication Services,Internet Content & Information,0.0,53.7,0.0,75139089,New York Stock Exchange,NYSE,US,False,False
KMB,Kimberly-Clark Corporation,41063210910,Consumer Defensive,Household & Personal Products,0.39,121.51,4.72,1764952,New York Stock Exchange,NYSE,US,False,True
OKE,"ONEOK, Inc.",40906731220,Energy,Oil & Gas Midstream,1.62,70.22,3.82,2240355,New York Stock Exchange,NYSE,US,False,True
STMPA.PA,STMicroelectronics N.V.,40900774359,Technology,Semiconductors,1.422,45.245,0.22,659694,Paris,EURONEXT,CH,False,True
GWO.TO,Great-West Lifeco Inc.,40865721660,Financial Services,Insurance—Life,0.846,43.86,2.08,796600,Toronto Stock Exchange,TSX,CA,False,True
STMMI.MI,STMicroelectronics N.V.,40813192232,Technology,Semiconductors,1.422,45.21,0.22,757516,Milan,EURONEXT,CH,False,True
DLR,"Digital Realty Trust, Inc.",40757822160,Real Estate,REIT—Office,0.57,134.58,4.88,1340649,New York Stock Exchange,NYSE,US,False,True
A,"Agilent Technologies, Inc.",40736346120,Healthcare,Diagnostics & Research,1.1,139.03,0.94,1014097,New York Stock Exchange,NYSE,US,False,True
LNG,"Cheniere Energy, Inc.",40672511050,Energy,Oil & Gas Midstream,0.968,170.71,1.74,842087,American Stock Exchange,AMEX,US,False,True
RI.PA,Pernod Ricard SA,40620244822,Consumer Defensive,Beverages—Wineries & Distilleries,0.437,159.75,4.7,196777,Paris,EURONEXT,FR,False,True
TRP,TC Energy Corporation,40536330000,Energy,Oil & Gas Midstream,0.831,39.09,2.72,3280207,New York Stock Exchange,NYSE,CA,False,True
VCIT,Vanguard Intermediate-Term Corporate Bond Index Fund,40492817770,,,1.23,81.28,3.0241999999999996,4455944,NASDAQ Global Market,NASDAQ,US,True,True
VICSX,Vanguard IT Corporate Bond Index Fund Admiral Shs,40477872109,,,1.23,21.91,0.187,0,NASDAQ,NASDAQ,,False,True
IMO.TO,Imperial Oil Limited,40444976760,Energy,Oil & Gas Integrated,1.793,75.48,2.0,492092,Toronto Stock Exchange,TSX,CA,False,True
VT,Vanguard Total World Stock Index Fund,40396271915,,,1.01,102.88,2.1419,2335825,New York Stock Exchange Arca,AMEX,US,True,True
VTWAX,Vanguard Total World Stock Index Fund Admiral Shares,40372969866,,,1.01,36.43,0.46799999999999997,0,NASDAQ,NASDAQ,,False,True
L.TO,Loblaw Companies Limited,40167675000,Consumer Defensive,Grocery Stores,0.103,128.28,1.78,159256,Toronto Stock Exchange,TSX,CA,False,True
SLF.TO,Sun Life Financial Inc.,40152752400,Financial Services,Insurance—Diversified,0.97,68.72,3.12,857111,Toronto Stock Exchange,TSX,CA,False,True
BK,The Bank of New York Mellon Corporation,40030249650,Financial Services,Asset Management,1.096,52.05,1.68,1852356,New York Stock Exchange,NYSE,US,False,True
WDS,Woodside Energy Group Ltd,39996796754,Energy,Oil & Gas E&P,0.767,21.09,2.24,344829,New York Stock Exchange,NYSE,AU,False,True
MFC,Manulife Financial Corporation,39924092000,Financial Services,Insurance—Life,1.108,22.1,1.09,1711058,New York Stock Exchange,NYSE,CA,False,True
LHX,"L3Harris Technologies, Inc.",39920914800,Industrials,Aerospace & Defense,0.68,210.62,4.56,628221,New York Stock Exchange,NYSE,US,False,True
DDOG,"Datadog, Inc.",39856936053,Technology,Software—Application,1.181,121.38,0.0,2191024,NASDAQ Global Select,NASDAQ,US,False,True
CNC,Centene Corporation,39643056210,Healthcare,Healthcare Plans,0.497,74.21,0.0,2401248,New York Stock Exchange,NYSE,US,False,True
TIEIX,TIAA-CREF Equity Index Fund,39476718335,,,1.0,33.67,0.0,0,NASDAQ,NASDAQ,,False,True
FERG,Ferguson plc,39402215805,Industrials,Industrial Distribution,1.133,193.07,3.16,444652,New York Stock Exchange,NYSE,GB,False,True
DASH,"DoorDash, Inc.",39378886329,Communication Services,Internet Content & Information,1.721,98.89,0.0,2525290,New York Stock Exchange,NYSE,US,False,True
JD,"JD.com, Inc.",39368980800,Consumer Cyclical,Internet Retail,0.575,28.89,0.62,10250159,NASDAQ Global Select,NASDAQ,CN,False,True
D,"Dominion Energy, Inc.",39329459000,Utilities,Utilities—Regulated Electric,0.567,47.0,2.67,3637858,New York Stock Exchange,NYSE,US,False,True
FAQTX,American Funds 2035 Target Date Retirement Fd Cl F-1,39302696955,,,1.09,17.42,0.0,0,NASDAQ,NASDAQ,,False,True
JCI,Johnson Controls International plc,39234049360,Industrials,Building Products & Equipment,1.264,57.64,1.48,3272589,New York Stock Exchange,NYSE,IE,False,True
